Time [s],Terminal voltage [V],Current [A],Cycle,Step
0.0,3.5139289370716593,2.3,0.0,0.0
0.0014512310405588708,3.51380427792402,2.3,0.0,0.0
0.0025005954983296635,3.513714317411096,2.3,0.0,0.0
0.004599324413871249,3.513534951310984,2.3,0.0,0.0
0.00879678224495442,3.5131786142499237,2.3,0.0,0.0
0.017191697907120763,3.512475136185152,2.3,0.0,0.0
0.03398152923145345,3.5111031563620267,2.3,0.0,0.0
0.050771360555786134,3.5097661746178197,2.3,0.0,0.0
0.06756119188011882,3.5084623409343014,2.3,0.0,0.0
0.10114085452878419,3.505931217144856,2.3,0.0,0.0
0.13472051717744954,3.503511357288576,2.3,0.0,0.0
0.20187984247478027,3.498984235226688,2.3,0.0,0.0
0.269039167772111,3.4948269758711588,2.3,0.0,0.0
0.3361984930694417,3.490990402880885,2.3,0.0,0.0
0.4033578183667724,3.4874323468292667,2.3,0.0,0.0
0.537676468961434,3.4810261318634685,2.3,0.0,0.0
0.6719951195560954,3.4753823626711173,2.3,0.0,0.0
0.8063137701507568,3.4703093648918815,2.3,0.0,0.0
0.9406324207454182,3.465729629518718,2.3,0.0,0.0
1.0749510713400796,3.4614614506544985,2.3,0.0,0.0
1.209269721934741,3.4577257826608925,2.3,0.0,0.0
1.315906524662803,3.4547872671943836,2.3,0.0,0.0
1.3776355188941036,3.4532037998388603,2.3,0.0,0.0
1.4393645131254043,3.451665541641172,2.3,0.0,0.0
1.5010935073567049,3.4501694312817444,2.3,0.0,0.0
1.6245514958193061,3.4472743823516447,2.3,0.0,0.0
1.7480094842819074,3.4445171004595565,2.3,0.0,0.0
1.9949254612071097,3.4393731070769236,2.3,0.0,0.0
2.241841438132312,3.4346539974173584,2.3,0.0,0.0
2.4887574150575147,3.430290320686108,2.3,0.0,0.0
2.735673391982717,3.4262265570104042,2.3,0.0,0.0
3.2295053458331218,3.4188443736006944,2.3,0.0,0.0
3.723337299683527,3.4122505233774167,2.3,0.0,0.0
4.217169253533932,3.406226575540318,2.3,0.0,0.0
4.711001207384337,3.40074936472281,2.3,0.0,0.0
5.204833161234742,3.395515759517556,2.3,0.0,0.0
5.599740937736711,3.3917952859820613,2.3,0.0,0.0
5.955157936588483,3.388500770004105,2.3,0.0,0.0
6.310574935440255,3.3854314596101744,2.3,0.0,0.0
6.58239069379292,3.383154090322092,2.3,0.0,0.0
6.854206452145585,3.3809493678362275,2.3,0.0,0.0
7.126022210498251,3.3788123576383717,2.3,0.0,0.0
7.669653727203581,3.3747006557011616,2.3,0.0,0.0
8.213285243908912,3.3708062502065896,2.3,0.0,0.0
8.756916760614242,3.367112613232657,2.3,0.0,0.0
9.844179794024903,3.3602637937269124,2.3,0.0,0.0
10.931442827435564,3.3540312303333475,2.3,0.0,0.0
12.018705860846225,3.3483239688758766,2.3,0.0,0.0
13.105968894256886,3.343068087711579,2.3,0.0,0.0
15.280494961078208,3.3336891582145984,2.3,0.0,0.0
17.45502102789953,3.3255614845181087,2.3,0.0,0.0
19.629547094720852,3.3183144614545457,2.3,0.0,0.0
21.804073161542174,3.3119160365612235,2.3,0.0,0.0
23.978599228363496,3.3061868322110204,2.3,0.0,0.0
26.153125295184818,3.30101916627566,2.3,0.0,0.0
28.32765136200614,3.296355791635084,2.3,0.0,0.0
30.502177428827462,3.292147019119586,2.3,0.0,0.0
32.67670349564878,3.288289002705587,2.3,0.0,0.0
34.8512295624701,3.2847496898522137,2.3,0.0,0.0
37.025755629291424,3.2814955167824262,2.3,0.0,0.0
41.37480776293407,3.275780807333333,2.3,0.0,0.0
45.72385989657671,3.2709215374265366,2.3,0.0,0.0
50.072912030219356,3.266776941716576,2.3,0.0,0.0
54.421964163862,3.2632052108549208,2.3,0.0,0.0
58.771016297504644,3.260137534268271,2.3,0.0,0.0
63.12006843114729,3.2574735584831442,2.3,0.0,0.0
67.46912056478993,3.2551793548881136,2.3,0.0,0.0
71.81817269843258,3.253167932037966,2.3,0.0,0.0
76.16722483207522,3.2514625579387566,2.3,0.0,0.0
80.51627696571786,3.249909887982649,2.3,0.0,0.0
84.86532909936051,3.2486215840266452,2.3,0.0,0.0
89.21438123300315,3.247449771449592,2.3,0.0,0.0
93.5634333666458,3.2464954772443293,2.3,0.0,0.0
97.91248550028844,3.245674087515835,2.3,0.0,0.0
102.26153763393108,3.2449199223256606,2.3,0.0,0.0
110.08983147448784,3.2438196966573045,2.3,0.0,0.0
117.91812531504459,3.2429722626845554,2.3,0.0,0.0
125.74641915560134,3.242328998166435,2.3,0.0,0.0
133.5747129961581,3.2418391519162797,2.3,0.0,0.0
149.2313006772716,3.241203856478508,2.3,0.0,0.0
164.8878883583851,3.240857817713822,2.3,0.0,0.0
180.54447603949862,3.2406827285508415,2.3,0.0,0.0
196.20106372061213,3.2405822933711015,2.3,0.0,0.0
211.85765140172563,3.2405181923062267,2.3,0.0,0.0
227.51423908283914,3.240429700007713,2.3,0.0,0.0
243.17082676395265,3.2403118065301815,2.3,0.0,0.0
258.82741444506615,3.2400868480073695,2.3,0.0,0.0
274.4840021261797,3.239843031881638,2.3,0.0,0.0
290.1405898072932,3.2393984298751723,2.3,0.0,0.0
305.79717748840676,3.2387675163210985,2.3,0.0,0.0
321.4537651695203,3.238026264454147,2.3,0.0,0.0
337.11035285063383,3.236988539778521,2.3,0.0,0.0
352.76694053174737,3.2357545147639657,2.3,0.0,0.0
368.4235282128609,3.2341755555055007,2.3,0.0,0.0
384.08011589397444,3.2323475252245952,2.3,0.0,0.0
399.736703575088,3.23026408695584,2.3,0.0,0.0
415.3932912562015,3.2279261974505076,2.3,0.0,0.0
431.04987893731504,3.22537921391111,2.3,0.0,0.0
446.7064666184286,3.222719528424638,2.3,0.0,0.0
462.3630542995421,3.2200991546004376,2.3,0.0,0.0
478.01964198065565,3.2174128759647274,2.3,0.0,0.0
493.6762296617692,3.215104396227615,2.3,0.0,0.0
507.7671585747714,3.2131059149918575,2.3,0.0,0.0
