Time [s],Terminal voltage [V],Current [A],Cycle,Step
0.0,4.0377265482044065,5.0,0.0,0.0
0.007015334431980994,4.037688615322637,5.0,0.0,0.0
0.014030668863961988,4.037650710912217,5.0,0.0,0.0
0.028061337727923977,4.037574981140855,5.0,0.0,0.0
0.056122675455847953,4.037423893000845,5.0,0.0,0.0
0.11224535091169591,4.037122746791869,5.0,0.0,0.0
0.22449070182339181,4.036526226716946,5.0,0.0,0.0
0.3367360527350877,4.035934300027222,5.0,0.0,0.0
0.5612267545584795,4.034767772505605,5.0,0.0,0.0
0.7857174563818713,4.033619399121221,5.0,0.0,0.0
1.010208158205263,4.032489111460938,5.0,0.0,0.0
1.4591895618520467,4.030272899591724,5.0,0.0,0.0
1.9081709654988304,4.028123648525527,5.0,0.0,0.0
2.8061337727923976,4.024030942230628,5.0,0.0,0.0
3.704096580085965,4.020198037139684,5.0,0.0,0.0
4.602059387379532,4.016606648720362,5.0,0.0,0.0
5.5000221946730985,4.013237221937221,5.0,0.0,0.0
6.397985001966665,4.010073984269171,5.0,0.0,0.0
7.295947809260232,4.00709600391934,5.0,0.0,0.0
9.091873423847368,4.001632444788213,5.0,0.0,0.0
10.887799038434501,3.9967355332652295,5.0,0.0,0.0
12.683724653021635,3.992309261490566,5.0,0.0,0.0
14.479650267608768,3.9882940314838473,5.0,0.0,0.0
16.275575882195902,3.9846235923624835,5.0,0.0,0.0
18.071501496783036,3.9812767059709673,5.0,0.0,0.0
19.86742711137017,3.9781877093799816,5.0,0.0,0.0
21.663352725957303,3.975346130048666,5.0,0.0,0.0
23.459278340544437,3.972721683022362,5.0,0.0,0.0
25.25520395513157,3.9702919970849493,5.0,0.0,0.0
27.051129569718704,3.9680415547555015,5.0,0.0,0.0
30.64298079889297,3.9640061180977546,5.0,0.0,0.0
34.23483202806724,3.960510717073559,5.0,0.0,0.0
37.826683257241505,3.957452080128255,5.0,0.0,0.0
41.41853448641577,3.954799754036066,5.0,0.0,0.0
45.01038571559004,3.952445269454665,5.0,0.0,0.0
48.60223694476431,3.9504394473266577,5.0,0.0,0.0
52.194088173938574,3.948622326540585,5.0,0.0,0.0
55.78593940311284,3.9470451304816874,5.0,0.0,0.0
59.37779063228711,3.945655799635456,5.0,0.0,0.0
62.969641861461376,3.944427382409377,5.0,0.0,0.0
66.56149309063565,3.943338986363351,5.0,0.0,0.0
73.74519554898419,3.9414954003958544,5.0,0.0,0.0
80.92889800733272,3.9399905235542736,5.0,0.0,0.0
88.11260046568125,3.938702339949602,5.0,0.0,0.0
95.29630292402979,3.937593673479487,5.0,0.0,0.0
102.48000538237832,3.936553247673526,5.0,0.0,0.0
109.66370784072686,3.935619388695333,5.0,0.0,0.0
116.84741029907539,3.934734176402415,5.0,0.0,0.0
124.03111275742393,3.933868955387726,5.0,0.0,0.0
131.21481521577246,3.933013902812589,5.0,0.0,0.0
138.398517674121,3.932154066789309,5.0,0.0,0.0
152.76592259081806,3.930369828599594,5.0,0.0,0.0
167.13332750751513,3.9284321619614477,5.0,0.0,0.0
181.5007324242122,3.926252984260187,5.0,0.0,0.0
195.86813734090927,3.923827625450204,5.0,0.0,0.0
210.23554225760634,3.9210680631392707,5.0,0.0,0.0
224.6029471743034,3.918125410470032,5.0,0.0,0.0
238.97035209100048,3.9148077335866103,5.0,0.0,0.0
253.33775700769755,3.911296328124233,5.0,0.0,0.0
