Time [s],Terminal voltage [V],Current [A],Cycle,Step
0.0,4.112825096184212,5.0,0.0,0.0
0.006917198440161767,4.112765054855827,5.0,0.0,0.0
0.013834396880323533,4.112705218523082,5.0,0.0,0.0
0.027668793760647067,4.112585946561661,5.0,0.0,0.0
0.05533758752129413,4.112349277772853,5.0,0.0,0.0
0.11067517504258827,4.111880880116512,5.0,0.0,0.0
0.22135035008517653,4.110973230822493,5.0,0.0,0.0
0.32095800762350596,4.110173286668255,5.0,0.0,0.0
0.4205656651618354,4.1093901839329305,5.0,0.0,0.0
0.5201733227001648,4.108622400039458,5.0,0.0,0.0
0.7193886377768237,4.107120340962405,5.0,0.0,0.0
0.9186039528534826,4.105669706001051,5.0,0.0,0.0
1.3170345830068004,4.102914453047771,5.0,0.0,0.0
1.7154652131601182,4.100334327828666,5.0,0.0,0.0
2.113895843313436,4.097906556564473,5.0,0.0,0.0
2.5123264734667536,4.0956112726210225,5.0,0.0,0.0
2.9107571036200715,4.093434583271792,5.0,0.0,0.0
3.3091877337733893,4.091360430950047,5.0,0.0,0.0
4.106048994080025,4.087475059887958,5.0,0.0,0.0
4.9029102543866605,4.083878227114683,5.0,0.0,0.0
5.699771514693296,4.080516277885149,5.0,0.0,0.0
6.496632774999932,4.077357229970053,5.0,0.0,0.0
7.293494035306567,4.074378631868088,5.0,0.0,0.0
8.090355295613202,4.071554746520076,5.0,0.0,0.0
8.887216555919837,4.068872863131896,5.0,0.0,0.0
9.684077816226472,4.066317300783295,5.0,0.0,0.0
10.480939076533106,4.063877044247098,5.0,0.0,0.0
12.074661597146378,4.059296856297596,5.0,0.0,0.0
13.668384117759649,4.055079923691807,5.0,0.0,0.0
15.26210663837292,4.051182831119897,5.0,0.0,0.0
16.85582915898619,4.047570204797555,5.0,0.0,0.0
20.043274200212732,4.041096783482337,5.0,0.0,0.0
23.230719241439274,4.035467145346505,5.0,0.0,0.0
26.418164282665817,4.030537231779711,5.0,0.0,0.0
29.60560932389236,4.026198681413643,5.0,0.0,0.0
32.7930543651189,4.02239329557865,5.0,0.0,0.0
35.98049940634544,4.019047953534271,5.0,0.0,0.0
39.167944447571976,4.016118873009708,5.0,0.0,0.0
